model_name,prompt_type,total_attempts,successful_attempts,failed_attempts,timeout_attempts,execution_time_mean,execution_time_median,execution_time_sd,prediction_accuracy,auc_roc,total_duration_mean,total_duration_median,total_duration_sd,load_duration_mean,load_duration_median,load_duration_sd,prompt_eval_duration_mean,prompt_eval_duration_median,prompt_eval_duration_sd,eval_duration_mean,eval_duration_median,eval_duration_sd,true_positives,true_negatives,false_positives,false_negatives,precision,recall,f1_score,txt_accuracy,txt_auc_roc,model_dir,model_params,model_quantization
llama3.2:1b-instruct-fp16,PromptType.COT,100,100,0,0,0.7177605724334717,0.653562068939209,0.31550240053670914,33.0,0.48506666666666665,,,,,,,,,,,,,21,12,63,4,0.25,0.84,0.3853211009174312,33.0,0.4851,llama3_2_1b-instruct-fp16,1,fp16
llama3.2:1b-instruct-fp16,PromptType.COT_NSHOT,100,100,0,0,0.7472191548347473,0.5780006647109985,0.8549855010167486,39.0,0.5198306595365418,,,,,,,,,,,,,26,13,53,8,0.3291139240506329,0.7647058823529411,0.46017699115044247,39.0,0.5198,llama3_2_1b-instruct-fp16,1,fp16
llama3.2:1b-instruct-fp16,PromptType.SYSTEM1,100,100,0,0,0.13435188055038452,0.11415600776672363,0.19824003240759824,32.0,0.5256000000000001,,,,,,,,,,,,,22,10,65,3,0.25287356321839083,0.88,0.39285714285714285,32.0,0.5256,llama3_2_1b-instruct-fp16,1,fp16
dolphin-2.9.2-qwen2-7b:Q4_K_M,PromptType.COT,100,100,0,0,1.1434279823303222,0.9860897064208984,0.516435220364635,41.0,0.500222816399287,,,,,,,,,,,,,22,19,47,12,0.3188405797101449,0.6470588235294118,0.42718446601941745,41.0,0.5002,dolphin-2_9_2-qwen2-7b_q4_k_m,7,q4_k_m
dolphin-2.9.2-qwen2-7b:Q4_K_M,PromptType.COT_NSHOT,100,100,0,0,1.1365500378608704,1.1032072305679321,0.24268457349396724,51.0,0.5553534303534304,,,,,,,,,,,,,22,29,45,4,0.3283582089552239,0.8461538461538461,0.4731182795698925,51.0,0.5554,dolphin-2_9_2-qwen2-7b_q4_k_m,7,q4_k_m
dolphin-2.9.2-qwen2-7b:Q4_K_M,PromptType.SYSTEM1,100,100,0,0,0.267082531452179,0.19392430782318115,0.722772226122741,36.0,0.4720279720279719,,,,,,,,,,,,,20,16,62,2,0.24390243902439024,0.9090909090909091,0.38461538461538464,36.0,0.472,dolphin-2_9_2-qwen2-7b_q4_k_m,7,q4_k_m
llama3.3:70b-instruct-q4_K_M,PromptType.COT,100,100,0,0,10.204874029159546,10.130493879318237,1.4589792457349062,57.0,0.44717157550257125,,,,,,,,,,,,,21,36,33,10,0.3888888888888889,0.6774193548387096,0.4941176470588235,57.0,0.4472,llama3_3_70b-instruct-q4_k_m,70,q4_k_m
llama3.3:70b-instruct-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,11.724729375839233,11.626441478729248,1.5631170571018034,61.0,0.5608552631578947,,,,,,,,,,,,,17,44,32,7,0.3469387755102041,0.7083333333333334,0.4657534246575343,61.0,0.5609,llama3_3_70b-instruct-q4_k_m,70,q4_k_m
llama3.3:70b-instruct-q4_K_M,PromptType.SYSTEM1,100,100,0,0,1.4155108499526978,1.0236847400665283,3.9228733232867974,50.0,0.4909655561829475,,,,,,,,,,,,,11,39,38,12,0.22448979591836735,0.4782608695652174,0.3055555555555556,50.0,0.491,llama3_3_70b-instruct-q4_k_m,70,q4_k_m
exaone3.5:32b-instruct-q4_K_M,PromptType.COT,100,100,0,0,6.1914272165298465,5.755513548851013,1.3322830955613068,62.0,0.43996881496881496,,,,,,,,,,,,,15,47,27,11,0.35714285714285715,0.5769230769230769,0.4411764705882353,62.0,0.44,exaone3_5_32b-instruct-q4_k_m,32,q4_k_m
