college02,parentrelations,married02,urbanrural,faminjail,experience02,homelessness,askgod,sex,foodstamp,hhsize97,cocaine,depression,convictedby2002,marijuana_anydrug,victim,num_weight,numberofarrestsby2002,race,height_total_inches,godhasnothingtodo,age,y_arrestedafter2002,nshot_summary_text
"not enrolled, no high school degree, no GED","biological mother, marital status unknown","never married, cohabiting",urban,False,0,False,True,male,False,6,False,none of the time,True,marijuana_anydrug,False,162,6,hispanic,60,False,18,True,"current education status is not enrolled, no high school degree, no GED, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 0, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False, and household size  as teen is 6, and used cocaine past 3 years is False, and monthly frequency of severe depression is none of the time, and number of previous convictions is True, and used any drug except cocaine past 3 years is marijuana_anydrug, and victim of violent crime past 5 years is False, and weight in pounds is 162, and number of previous arrests is 6, and race is hispanic, and height in inches is 60, and believes God has nothing to do with me is False, and age is 18"
"not enrolled, some college","biological mother, marital status unknown","never married, not cohabiting",urban,False,3,False,False,female,True,4,False,none of the time,False,marijuana_anydrug,False,137,1,black,64,True,21,False,"current education status is not enrolled, some college, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 3, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is female, and used food stamps in past year is True, and household size  as teen is 4, and used cocaine past 3 years is False, and monthly frequency of severe depression is none of the time, and number of previous convictions is False, and used any drug except cocaine past 3 years is marijuana_anydrug, and victim of violent crime past 5 years is False, and weight in pounds is 137, and number of previous arrests is 1, and race is black, and height in inches is 64, and believes God has nothing to do with me is True, and age is 21"
"not enrolled, some college",Unknown,"never married, cohabiting",Unknown,False,0,False,True,male,False,3,False,none of the time,False,,False,187,1,black,69,False,22,False,"current education status is not enrolled, some college, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current marriage status is never married, cohabiting, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 0, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False, and household size  as teen is 3, and used cocaine past 3 years is False, and monthly frequency of severe depression is none of the time, and number of previous convictions is False, and used any drug except cocaine past 3 years is nan, and victim of violent crime past 5 years is False, and weight in pounds is 187, and number of previous arrests is 1, and race is black, and height in inches is 69, and believes God has nothing to do with me is False, and age is 22"
enrolled in a 2-year college,Unknown,"never married, not cohabiting",Unknown,False,4,False,True,male,False,5,True,none of the time,False,marijuana_anydrug,False,180,2,black,68,True,18,False,"current education status is enrolled in a 2-year college, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 4, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False, and household size  as teen is 5, and used cocaine past 3 years is True, and monthly frequency of severe depression is none of the time, and number of previous convictions is False, and used any drug except cocaine past 3 years is marijuana_anydrug, and victim of violent crime past 5 years is False, and weight in pounds is 180, and number of previous arrests is 2, and race is black, and height in inches is 68, and believes God has nothing to do with me is True, and age is 18"
"not enrolled, no high school degree, no GED",anything else,"never married, not cohabiting",Unknown,False,3,False,True,male,False,4,False,most of the time,False,marijuana_anydrug,False,140,1,hispanic,66,True,19,False,"current education status is not enrolled, no high school degree, no GED, and relationship at age 12 with parent figure(s) or guardian(s) is anything else, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 3, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False, and household size  as teen is 4, and used cocaine past 3 years is False, and monthly frequency of severe depression is most of the time, and number of previous convictions is False, and used any drug except cocaine past 3 years is marijuana_anydrug, and victim of violent crime past 5 years is False, and weight in pounds is 140, and number of previous arrests is 1, and race is hispanic, and height in inches is 66, and believes God has nothing to do with me is True, and age is 19"
"not enrolled, GED","biological mother, marital status unknown","never married, not cohabiting",urban,False,2,True,True,male,False,4,False,all of the time,False,marijuana_anydrug,False,212,2,black,71,True,21,True,"current education status is not enrolled, GED, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 2, and homeless for 2 or more nights in past 5 years is True, and often asks God for help is True, and sex is male, and used food stamps in past year is False, and household size  as teen is 4, and used cocaine past 3 years is False, and monthly frequency of severe depression is all of the time, and number of previous convictions is False, and used any drug except cocaine past 3 years is marijuana_anydrug, and victim of violent crime past 5 years is False, and weight in pounds is 212, and number of previous arrests is 2, and race is black, and height in inches is 71, and believes God has nothing to do with me is True, and age is 21"
"not enrolled, high school degree","biological mother, other parent present","never married, not cohabiting",Unknown,False,0,False,False,male,False,4,False,most of the time,True,marijuana_anydrug,True,155,1,white,67,True,18,False,"current education status is not enrolled, high school degree, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 0, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is male, and used food stamps in past year is False, and household size  as teen is 4, and used cocaine past 3 years is False, and monthly frequency of severe depression is most of the time, and number of previous convictions is True, and used any drug except cocaine past 3 years is marijuana_anydrug, and victim of violent crime past 5 years is True, and weight in pounds is 155, and number of previous arrests is 1, and race is white, and height in inches is 67, and believes God has nothing to do with me is True, and age is 18"
"not enrolled, high school degree",both biological parents,"never married, not cohabiting",urban,False,2,False,True,male,False,4,False,none of the time,False,,False,220,1,hispanic,68,False,21,False,"current education status is not enrolled, high school degree, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 2, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False, and household size  as teen is 4, and used cocaine past 3 years is False, and monthly frequency of severe depression is none of the time, and number of previous convictions is False, and used any drug except cocaine past 3 years is nan, and victim of violent crime past 5 years is False, and weight in pounds is 220, and number of previous arrests is 1, and race is hispanic, and height in inches is 68, and believes God has nothing to do with me is False, and age is 21"
enrolled in a 4-year college,"biological mother, marital status unknown","never married, not cohabiting",urban,False,1,False,False,male,False,5,True,none of the time,False,marijuana_anydrug,False,159,1,white,74,False,18,False,"current education status is enrolled in a 4-year college, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 1, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is male, and used food stamps in past year is False, and household size  as teen is 5, and used cocaine past 3 years is True, and monthly frequency of severe depression is none of the time, and number of previous convictions is False, and used any drug except cocaine past 3 years is marijuana_anydrug, and victim of violent crime past 5 years is False, and weight in pounds is 159, and number of previous arrests is 1, and race is white, and height in inches is 74, and believes God has nothing to do with me is False, and age is 18"
"enrolled in grades 1-12, not a high school graduate","biological mother, marital status unknown","never married, not cohabiting",urban,False,1,False,True,male,False,4,False,none of the time,False,,False,140,1,black,67,False,18,False,"current education status is enrolled in grades 1-12, not a high school graduate, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 1, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False, and household size  as teen is 4, and used cocaine past 3 years is False, and monthly frequency of severe depression is none of the time, and number of previous convictions is False, and used any drug except cocaine past 3 years is nan, and victim of violent crime past 5 years is False, and weight in pounds is 140, and number of previous arrests is 1, and race is black, and height in inches is 67, and believes God has nothing to do with me is False, and age is 18"
