pubid,sex,birthyear,birthmonth,race_ethnicity,race_specific,married02,educ02,college02,experience02,hhsize97,homelessness,faminjail,foodstamp,depression,marijuana,cocaine,anydrug,arrestedby2002,numberofarrestsby2002,arrestedafter2002,convictedby2002,convictedafter2002,recidivism,firstcrime,race,num_weight,short,long,height_cm
43,0,1981,9,0,2,5,2,7.0,3,4,0,0,1,2,1,0,1,1,1,0,0,0,0,0,2,137.0,The person is a 21-year-old female who identifies herself as Black. She has been arrested 1 time but has not been convicted.,"The person is a 21-year-old female who identifies herself as Black. She has been arrested 1 time but has not been convicted. She is 5 feet 4 inches and weighs between 125 and 149 lbs. She has never been married and is currently living alone. She has a GED certificate and is not enrolled in college. She has held 3 jobs during the year. She has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, she lived with her biological mother in a household of size 4, in an urban area. She considers that God has nothing to do with what happens to her personally.",163
64,1,1980,2,0,2,4,3,7.0,0,3,0,0,0,2,0,0,0,1,1,0,0,0,0,0,2,187.0,The person is a 22-year-old male who identifies himself as Black. He has been arrested 1 time but has not been convicted.,"The person is a 22-year-old male who identifies himself as Black. He has been arrested 1 time but has not been convicted. He is 5 feet 9 inches and weighs between 175 and 199 lbs. He has never been married and is currently not living alone. He has a high school diploma and is not enrolled in college. He has held no jobs during the year. He has not used any drugs in the past four years and has not felt depressed over the past month. At a young age, he lived in a household of size 3. He considers that God has something to do with what happens to him personally.",175
73,1,1984,9,0,2,5,3,0.0,4,5,0,0,0,2,1,1,1,1,2,0,0,0,0,0,2,180.0,The person is an 18-year-old male who identifies himself as Black. He has been arrested 2 times but has not been convicted.,"The person is an 18-year-old male who identifies himself as Black. He has been arrested 2 times but has not been convicted. He is 5 feet 8 inches and weighs 180 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 2-year college. He has held 4 jobs during the year. He has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, he lived in a household of size 5. He considers that God has nothing to do with what happens to him personally.",173
80,1,1981,5,0,2,5,2,5.0,2,4,1,0,0,0,1,0,1,1,2,1,0,1,1,0,2,212.0,The person is a 21-year-old male who identifies himself as Black. He has been arrested 2 times but has not been convicted.,"The person is a 21-year-old male who identifies himself as Black. He has been arrested 2 times but has not been convicted. He is 5 feet 11 inches and weighs between 200 and 224 lbs. He has never been married and is currently living alone. He has a GED certificate and is not enrolled in college. He has held 2 jobs during the year. He has used drugs in the past four years (marijuana) and all of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with his biological mother in a household of size 4, in an urban area. He considers that God has nothing to do with what happens to him personally.",180
85,1,1984,1,3,5,5,3,6.0,0,4,0,0,0,1,1,0,1,1,1,0,1,0,0,0,5,155.0,The person is an 18-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted.,"The person is an 18-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted. He is 5 feet 7 inches and weighs 155 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held no jobs during the year. He has used drugs in the past four years (marijuana) and most of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with his biological mother in a household of size 4. He considers that God has nothing to do with what happens to him personally.",170
90,1,1981,10,1,5,5,3,6.0,2,4,0,0,0,2,0,0,0,1,1,0,0,0,0,0,3,220.0,The person is a 21-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted.,"The person is a 21-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted. He is 5 feet 8 inches and weighs 220 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 2 jobs during the year. He has not used any drugs in the past four years and has not felt depressed over the past month. At a young age, he lived with both of his biological parents in a household of size 4, in an urban area. He considers that God has something to do with what happens to him personally.",173
113,1,1984,3,3,5,5,3,1.0,1,5,0,0,0,2,1,1,1,1,1,0,0,0,0,0,5,159.0,The person is an 18-year-old male who identifies himself as White. He has been arrested 1 time but has not been convicted.,"The person is an 18-year-old male who identifies himself as White. He has been arrested 1 time but has not been convicted. He is 6 feet 2 inches and weighs 159 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 4-year college. He has held 1 job during the year. He has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, he lived with his biological mother in a household of size 5, in an urban area. He considers that God has something to do with what happens to him personally.",188
118,1,1980,5,3,5,5,3,1.0,1,4,0,0,0,3,1,0,1,1,1,0,1,0,0,0,5,140.0,The person is a 22-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted.,"The person is a 22-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted. He is 5 feet 10 inches and weighs 140 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 4-year college. He has held 1 job during the year. He has used drugs in the past four years (marijuana) and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with both of his biological parents in a household of size 4, in an urban area. He considers that God has something to do with what happens to him personally.",178
126,1,1981,4,3,5,5,3,6.0,3,5,0,0,0,0,1,0,1,1,2,0,1,0,0,0,5,145.0,The person is a 21-year-old male who identifies himself as White. He has been arrested 2 times and has been convicted.,"The person is a 21-year-old male who identifies himself as White. He has been arrested 2 times and has been convicted. He is 5 feet 7 inches and weighs 145 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 3 jobs during the year. He has used drugs in the past four years (marijuana) and all of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived in a household of size 5. He considers that God has something to do with what happens to him personally.",170
144,1,1982,7,0,2,5,3,0.0,3,5,0,0,0,3,1,0,1,1,1,0,0,0,0,0,2,174.0,The person is a 20-year-old male who identifies himself as Black. He has been arrested 1 time but has not been convicted.,"The person is a 20-year-old male who identifies himself as Black. He has been arrested 1 time but has not been convicted. He is 6 feet 1 inch and weighs 174 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 2-year college. He has held 3 jobs during the year. He has used drugs in the past four years (marijuana) and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with his biological mother in a household of size 5, in an urban area. He considers that God has something to do with what happens to him personally.",185
156,1,1982,10,3,1,5,3,1.0,0,4,0,0,0,3,1,0,1,1,1,0,1,0,0,0,1,145.0,The person is a 20-year-old male who identifies himself as Asian / Pacific Islander. He has been arrested 1 time and has been convicted.,"The person is a 20-year-old male who identifies himself as Asian / Pacific Islander. He has been arrested 1 time and has been convicted. He is 5 feet 10 inches and weighs 145 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 4-year college. He has held no jobs during the year. He has used drugs in the past four years (marijuana) and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with both of his biological parents in a household of size 4, in an urban area. He considers that God has nothing to do with what happens to him personally.",178
163,1,1983,1,0,5,5,3,6.0,2,5,0,0,0,2,1,1,1,1,2,1,0,1,1,0,2,187.0,The person is a 19-year-old male who identifies himself as Black. He has been arrested 2 times but has not been convicted.,"The person is a 19-year-old male who identifies himself as Black. He has been arrested 2 times but has not been convicted. He is 6 feet 1 inch and weighs between 175 and 199 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 2 jobs during the year. He has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, he lived with his biological mother in a household of size 5, in an urban area. He considers that God has something to do with what happens to him personally.",185
185,1,1981,5,0,2,4,3,6.0,3,4,0,0,0,3,0,0,0,1,1,0,1,0,0,0,2,160.0,The person is a 21-year-old male who identifies himself as Black. He has been arrested 1 time and has been convicted.,"The person is a 21-year-old male who identifies himself as Black. He has been arrested 1 time and has been convicted. He is 5 feet 5 inches and weighs 160 lbs. He has never been married and is currently not living alone. He has a high school diploma and is not enrolled in college. He has held 3 jobs during the year. He has not used any drugs in the past four years and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with his biological mother in a household of size 4. He considers that God has something to do with what happens to him personally.",165
190,1,1983,9,3,5,4,2,5.0,1,4,0,0,0,2,1,0,1,1,1,0,1,0,0,0,5,170.0,The person is a 19-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted.,"The person is a 19-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted. He is 5 feet 5 inches and weighs 170 lbs. He has never been married and is currently not living alone. He has a GED certificate and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived with his biological mother in a household of size 4, in an urban area. He considers that God has something to do with what happens to him personally.",165
191,1,1982,1,3,5,4,3,6.0,5,3,0,0,0,2,1,1,1,1,4,0,1,0,0,0,5,185.0,The person is a 20-year-old male who identifies himself as White. He has been arrested 4 times and has been convicted.,"The person is a 20-year-old male who identifies himself as White. He has been arrested 4 times and has been convicted. He is 5 feet 8 inches and weighs 185 lbs. He has never been married and is currently not living alone. He has a high school diploma and is not enrolled in college. He has held 5 jobs during the year. He has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, he lived in a household of size 3, in an urban area. He considers that God has something to do with what happens to him personally.",173
199,1,1982,5,3,5,5,3,7.0,5,4,0,0,0,0,1,1,1,1,4,0,1,0,0,0,5,135.0,The person is a 20-year-old male who identifies himself as White. He has been arrested 4 times and has been convicted.,"The person is a 20-year-old male who identifies himself as White. He has been arrested 4 times and has been convicted. He is 5 feet 6 inches and weighs 135 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 5 jobs during the year. He has used drugs in the past four years (marijuana and cocaine) and all of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with both of his biological parents in a household of size 4, in an urban area. He considers that God has nothing to do with what happens to him personally.",168
230,1,1984,4,1,3,5,3,1.0,1,4,0,0,0,3,1,0,1,1,1,1,0,0,1,0,3,160.0,The person is an 18-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted.,"The person is an 18-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted. He is 5 feet 6 inches and weighs 160 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 4-year college. He has held 1 job during the year. He has used drugs in the past four years (marijuana) and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with both of his biological parents in a household of size 4, in an urban area. He considers that God has nothing to do with what happens to him personally.",168
231,1,1980,10,1,3,3,2,7.0,1,4,0,0,0,3,1,0,1,1,3,0,1,0,0,0,3,190.0,The person is a 22-year-old male who identifies himself as Hispanic. He has been arrested 3 times and has been convicted.,"The person is a 22-year-old male who identifies himself as Hispanic. He has been arrested 3 times and has been convicted. He is 5 feet 7 inches and weighs 190 lbs. He is married and is currently living with his spouse. He has a GED certificate and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana) and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived in a household of size 4. He considers that God has something to do with what happens to him personally.",170
233,1,1980,11,1,3,5,3,7.0,1,3,0,0,0,3,1,1,1,1,6,1,1,1,1,0,3,140.0,The person is a 22-year-old male who identifies himself as Hispanic. He has been arrested 6 times and has been convicted.,"The person is a 22-year-old male who identifies himself as Hispanic. He has been arrested 6 times and has been convicted. He is 5 feet 8 inches and weighs 140 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana and cocaine) and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with both of his biological parents in a household of size 3, in an urban area. He considers that God has something to do with what happens to him personally.",173
234,0,1983,7,1,3,4,3,6.0,1,7,0,0,0,3,0,0,0,1,1,0,0,0,0,0,3,117.0,The person is a 19-year-old female who identifies herself as Hispanic. She has been arrested 1 time but has not been convicted.,"The person is a 19-year-old female who identifies herself as Hispanic. She has been arrested 1 time but has not been convicted. She is 5 feet 5 inches and weighs 117 lbs. She has never been married and is currently not living alone. She has a high school diploma and is not enrolled in college. She has held 1 job during the year. She has not used any drugs in the past four years and some of the time during the past month she has felt so down in the dumps that nothing could cheer her up. At a young age, she lived in a household of size 7. She considers that God has nothing to do with what happens to her personally.",165
