Sex,Birth year,Birth month,Ethnicity,Race,Weight (lbs),Marital Status,Education,College,Total jobs in past year,Household size,Homeless last 5 yrs,Family in Jail last 5 yrs,On foodstamps,Violent crime victim in past 5 yrs,Pray to God,Believe in God,Depressed,Marijuana use in last 4 yrs,Cocaine use in last 4 yrs,Any drug use in last 4 yrs,Arrest count by 2002,Recidivism arrested,Convicted by 2002,Recidivism convicted,Recidivism prediction by police,Short description,Long description,Height (cm)
Female,1981,October,Black,Black,137.0,Never married not cohabiting,GED,"Not enrolled, some college",3,4,No,No,Yes,No,No,Yes,Never,Yes,No,Yes,1,No,No,No,No,The person is a 21-year-old female who identifies herself as Black. She has been arrested 1 time but has not been convicted.,"The person is a 21-year-old female who identifies herself as Black. She has been arrested 1 time but has not been convicted. She is 5 feet 4 inches and weighs between 125 and 149 lbs. She has never been married and is currently living alone. She has a GED certificate and is not enrolled in college. She has held 3 jobs during the year. She has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, she lived with her biological mother in a household of size 4, in an urban area. She considers that God has nothing to do with what happens to her personally.",163
Male,1980,March,Black,Black,187.0,Never married cohabiting,HS Diploma,"Not enrolled, some college",0,3,No,No,No,No,Yes,No,Never,No,No,No,1,No,No,No,No,The person is a 22-year-old male who identifies himself as Black. He has been arrested 1 time but has not been convicted.,"The person is a 22-year-old male who identifies himself as Black. He has been arrested 1 time but has not been convicted. He is 5 feet 9 inches and weighs between 175 and 199 lbs. He has never been married and is currently not living alone. He has a high school diploma and is not enrolled in college. He has held no jobs during the year. He has not used any drugs in the past four years and has not felt depressed over the past month. At a young age, he lived in a household of size 3. He considers that God has something to do with what happens to him personally.",175
Male,1984,October,Black,Black,180.0,Never married not cohabiting,HS Diploma,Enrolled in 2yr college,4,5,No,No,No,No,Yes,Yes,Never,Yes,Yes,Yes,2,No,No,No,No,The person is an 18-year-old male who identifies himself as Black. He has been arrested 2 times but has not been convicted.,"The person is an 18-year-old male who identifies himself as Black. He has been arrested 2 times but has not been convicted. He is 5 feet 8 inches and weighs 180 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 2-year college. He has held 4 jobs during the year. He has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, he lived in a household of size 5. He considers that God has nothing to do with what happens to him personally.",173
Male,1981,June,Black,Black,212.0,Never married not cohabiting,GED,"Not enrolled, GED",2,4,Yes,No,No,No,Yes,Yes,Always,Yes,No,Yes,2,Yes,No,Yes,Yes,The person is a 21-year-old male who identifies himself as Black. He has been arrested 2 times but has not been convicted.,"The person is a 21-year-old male who identifies himself as Black. He has been arrested 2 times but has not been convicted. He is 5 feet 11 inches and weighs between 200 and 224 lbs. He has never been married and is currently living alone. He has a GED certificate and is not enrolled in college. He has held 2 jobs during the year. He has used drugs in the past four years (marijuana) and all of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with his biological mother in a household of size 4, in an urban area. He considers that God has nothing to do with what happens to him personally.",180
Male,1984,February,Non-Black Non-Hispanic,White,155.0,Never married not cohabiting,HS Diploma,"Not enrolled, HS graduate",0,4,No,No,No,Yes,Unknown2,Yes,Usually,Yes,No,Yes,1,No,Yes,No,No,The person is an 18-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted.,"The person is an 18-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted. He is 5 feet 7 inches and weighs 155 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held no jobs during the year. He has used drugs in the past four years (marijuana) and most of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with his biological mother in a household of size 4. He considers that God has nothing to do with what happens to him personally.",170
Male,1981,November,Hispanic,White,220.0,Never married not cohabiting,HS Diploma,"Not enrolled, HS graduate",2,4,No,No,No,No,Yes,No,Never,No,No,No,1,No,No,No,No,The person is a 21-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted.,"The person is a 21-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted. He is 5 feet 8 inches and weighs 220 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 2 jobs during the year. He has not used any drugs in the past four years and has not felt depressed over the past month. At a young age, he lived with both of his biological parents in a household of size 4, in an urban area. He considers that God has something to do with what happens to him personally.",173
Male,1984,April,Non-Black Non-Hispanic,White,159.0,Never married not cohabiting,HS Diploma,Enrolled in 4yr college,1,5,No,No,No,No,No,No,Never,Yes,Yes,Yes,1,No,No,No,No,The person is an 18-year-old male who identifies himself as White. He has been arrested 1 time but has not been convicted.,"The person is an 18-year-old male who identifies himself as White. He has been arrested 1 time but has not been convicted. He is 6 feet 2 inches and weighs 159 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 4-year college. He has held 1 job during the year. He has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, he lived with his biological mother in a household of size 5, in an urban area. He considers that God has something to do with what happens to him personally.",188
Male,1980,June,Non-Black Non-Hispanic,White,140.0,Never married not cohabiting,HS Diploma,Enrolled in 4yr college,1,4,No,No,No,No,Yes,No,Sometimes,Yes,No,Yes,1,No,Yes,No,No,The person is a 22-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted.,"The person is a 22-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted. He is 5 feet 10 inches and weighs 140 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 4-year college. He has held 1 job during the year. He has used drugs in the past four years (marijuana) and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with both of his biological parents in a household of size 4, in an urban area. He considers that God has something to do with what happens to him personally.",178
Male,1981,May,Non-Black Non-Hispanic,White,145.0,Never married not cohabiting,HS Diploma,"Not enrolled, HS graduate",3,5,No,No,No,No,Yes,No,Always,Yes,No,Yes,2,No,Yes,No,No,The person is a 21-year-old male who identifies himself as White. He has been arrested 2 times and has been convicted.,"The person is a 21-year-old male who identifies himself as White. He has been arrested 2 times and has been convicted. He is 5 feet 7 inches and weighs 145 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 3 jobs during the year. He has used drugs in the past four years (marijuana) and all of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived in a household of size 5. He considers that God has something to do with what happens to him personally.",170
Male,1982,August,Black,Black,174.0,Never married not cohabiting,HS Diploma,Enrolled in 2yr college,3,5,No,No,No,No,Yes,No,Sometimes,Yes,No,Yes,1,No,No,No,No,The person is a 20-year-old male who identifies himself as Black. He has been arrested 1 time but has not been convicted.,"The person is a 20-year-old male who identifies himself as Black. He has been arrested 1 time but has not been convicted. He is 6 feet 1 inch and weighs 174 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 2-year college. He has held 3 jobs during the year. He has used drugs in the past four years (marijuana) and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with his biological mother in a household of size 5, in an urban area. He considers that God has something to do with what happens to him personally.",185
