Unnamed: 0,sex_recorded_in_1997,marriage_or_cohabitation_status_in_2002,highest_degree_by_2002,college_enrollment_status_in_2002,jobs_held_in_2002,household_size_in_1997,parent_or_guardian_relationship_at_age_12,raised_in_urban_or_rural_area,homeless_for_2+_nights_over_last_5_years,any_adult_household_member_jailed_in_last_5_years,recieved_food_stamps_in_2002,victim_of_violent_crime_in_last_5_years,i_often_prey_to_god_for_help,god_has_nothing_to_do_with_me_personally,how_much_time_in_last_month_when_nothing_cheers_you_up,used_marijuana_in_last_4_years,used_cocaine_or_other_hard_drug_in_last_4_years,used_any_drug_in_last_4_years,ever_arrested_in_last_5_years,number_of_arrests_in_last_5_years,target,ever_convicted_in_last_5_years,weight_in_lbs,age,height_total_inches,race
0,male,"never married, cohabiting",Unknown,"not enrolled, no high school degree, no GED",0,6,"biological mother, marital status unknown",urban,False,False,False,False,True,False,none of the time,True,False,True,True,6,1,True,162.0,38,60,hispanic
1,female,"never married, not cohabiting",GED,"not enrolled, some college",3,4,"biological mother, marital status unknown",urban,False,False,True,False,False,True,none of the time,True,False,True,True,1,0,False,137.0,41,64,black
2,male,"never married, cohabiting",high school diploma (HS),"not enrolled, some college",0,3,Unknown,Unknown,False,False,False,False,True,False,none of the time,False,False,False,True,1,0,False,187.0,42,69,black
3,male,"never married, not cohabiting",high school diploma (HS),enrolled in a 2-year college,4,5,Unknown,Unknown,False,False,False,False,True,True,none of the time,True,True,True,True,2,0,False,180.0,38,68,black
4,male,"never married, not cohabiting",Unknown,"not enrolled, no high school degree, no GED",3,4,anything else,Unknown,False,False,False,False,True,True,most of the time,True,False,True,True,1,0,False,140.0,39,66,hispanic
5,male,"never married, not cohabiting",GED,"not enrolled, GED",2,4,"biological mother, marital status unknown",urban,True,False,False,False,True,True,all of the time,True,False,True,True,2,1,False,212.0,41,71,black
6,male,"never married, not cohabiting",high school diploma (HS),"not enrolled, high school degree",0,4,"biological mother, other parent present",Unknown,False,False,False,True,False,True,most of the time,True,False,True,True,1,0,True,155.0,38,67,white
7,male,"never married, not cohabiting",high school diploma (HS),"not enrolled, high school degree",2,4,both biological parents,urban,False,False,False,False,True,False,none of the time,False,False,False,True,1,0,False,220.0,41,68,hispanic
8,male,"never married, not cohabiting",high school diploma (HS),enrolled in a 4-year college,1,5,"biological mother, marital status unknown",urban,False,False,False,False,False,False,none of the time,True,True,True,True,1,0,False,159.0,38,74,white
9,male,"never married, not cohabiting",Unknown,"enrolled in grades 1-12, not a high school graduate",1,4,"biological mother, marital status unknown",urban,False,False,False,False,True,False,none of the time,False,False,False,True,1,0,False,140.0,38,67,black
10,male,"never married, not cohabiting",high school diploma (HS),enrolled in a 4-year college,1,4,both biological parents,urban,False,False,False,False,True,False,some of the time,True,False,True,True,1,0,True,140.0,42,70,white
11,male,"never married, not cohabiting",high school diploma (HS),"not enrolled, high school degree",3,5,Unknown,Unknown,False,False,False,False,True,False,all of the time,True,False,True,True,2,0,True,145.0,41,67,white
12,male,"never married, not cohabiting",high school diploma (HS),enrolled in a 2-year college,3,5,"biological mother, marital status unknown",urban,False,False,False,False,True,False,some of the time,True,False,True,True,1,0,False,174.0,40,73,black
13,male,"never married, not cohabiting",high school diploma (HS),enrolled in a 4-year college,0,4,both biological parents,urban,False,False,False,False,False,True,some of the time,True,False,True,True,1,0,True,145.0,40,70,asian or pacific islander
